Bee.ID,Location,Site,Pair,Elevation,HB.abundance,BB.abundance,Vegetation,Type,Date,Period ,Weight(mg),Wing.R,Wing.L,Wing.mean,Floral.Resource,Pollen.load,Notes
B032,SEKI,Site 06,D - Meadow,~ 7500 ft,50,50,Meadow,Unburned,7/13/2023,Afternoon ,,0.19,0.19,0.19,Deervetch,Yes,
B077,SEKI,Site 14,A - Meadow,~ 7700 ft,30,11,Meadow,Unburned,7/17/2023,Morning,99,0.21,0.21,0.21,Scorpionweed,No,
B015,SEKI,Site 02,C - Forest,~ 7000 ft,2,100,Meadow,Unburned,7/12/2023,Morning,,0.21,0.21,0.21,Bluebells,Yes,
B038,SEKI,Site 06,D - Meadow,~ 7500 ft,50,50,Meadow,Unburned,7/14/2023,Afternoon ,,0.21,0.21,0.21,,Yes,Small pollen loads 
B039,SEKI,Site 06,D - Meadow,~ 7500 ft,50,50,Meadow,Unburned,7/14/2023,Afternoon ,,0.21,0.21,0.21,,No,
B041,SEKI,Site 06,D - Meadow,~ 7500 ft,50,50,Meadow,Unburned,7/14/2023,Afternoon ,,0.21,0.21,0.21,,No,
B101,SEKI,Site 18,C - Forest,~ 7000 ft,0,37,Forest,Burned,7/18/2023,Morning,104,0.24,0.24,0.24,Scorpionweed,Yes,
B042,SEKI,Site 06,D - Meadow,~ 7500 ft,50,50,Meadow,Unburned,7/14/2023,Afternoon ,,0.22,0.22,0.22,,Yes,
B084,SEKI,Site 14,A - Meadow,~ 7700 ft,30,11,Meadow,Unburned,7/17/2023,Morning,90,0.23,0.23,0.23,Purple,Yes,
B092,SEKI,Site 18,C - Forest,~ 7000 ft,0,37,Forest,Burned,7/18/2023,Morning,119,0.24,0.24,0.24,Scorpionweed,No,
B083,SEKI,Site 14,A - Meadow,~ 7700 ft,30,11,Meadow,Unburned,7/17/2023,Morning,129,0.23,0.23,0.23,Scorpionweed ,Yes,
B099,SEKI,Site 18,C - Forest,~ 7000 ft,0,37,Forest,Burned,7/18/2023,Morning,121,0.28,0.28,0.28,Scorpionweed,Yes,
B054,SEKI,Site 11,B - Forest,~ 6500 ft,0,100,Forest,Burned,7/15/2023,Morning,124,0.32,0.32,0.32,Scorpionweed,Yes,
B045,SEKI,Site 11,B - Forest,~ 6500 ft,0,100,Forest,Burned,7/15/2023,Morning,125,0.25,0.25,0.25,Scorpionweed,Yes,
B051,SEKI,Site 11,B - Forest,~ 6500 ft,0,100,Forest,Burned,7/15/2023,Morning,125,0.27,0.27,0.27,Scorpionweed,Yes,
B004,SEKI,Site 02,C - Forest,~ 7000 ft,2,100,Meadow,Unburned,7/11/2023,Afternoon ,,0.23,0.23,0.23,Bluebells,Yes,Lost one pollen load 
B009,SEKI,Site 02,C - Forest,~ 7000 ft,2,100,Meadow,Unburned,7/12/2023,Morning,,0.23,0.23,0.23,Bluebells,No,
